lexical_score,semantic_score,keyword_overlap_count,years_experience_gap,shortlisted
0.63,0.36,6,0.47,0
0.26,0.022,4,-2.65,0
0.557,0.597,4,-1.32,0
0.15,0.227,1,-3.33,0
0.201,0.0,6,1.84,0
0.664,0.798,3,-0.6,1
0.43,0.358,3,-0.03,0
0.806,0.828,3,1.83,1
0.52,0.762,4,-1.44,1
0.398,0.533,6,-0.62,1
0.456,0.416,7,-2.11,0
0.403,0.27,2,-2.12,0
0.369,0.047,3,-1.84,0
0.233,0.125,3,-0.98,0
